Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
MRG5-IT-MF_S10_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.021179896748003354)	(52.0, 0.05294974187000838)	(57.0, 0.05294974187000838)	(62.0, 0.05294974187000838)	(67.0, 0.05294974187000838)	(72.0, 0.05294974187000838)	(77.0, 0.05294974187000838)	(82.0, 0.05294974187000838)	(87.0, 0.05294974187000838)	(92.0, 0.05294974187000838)	(97.0, 0.05294974187000838)	(102.0, 0.05294974187000838)	(107.0, 0.05294974187000838)	(112.0, 0.05294974187000838)	(117.0, 0.05294974187000838)	(122.0, 0.05294974187000838)	(127.0, 0.05294974187000838)	(132.0, 0.05294974187000838)	(137.0, 0.05294974187000838)	(142.0, 0.05294974187000838)	(147.0, 0.05294974187000838)	(152.0, 0.05294974187000838)	(157.0, 0.053832237567841855)	(162.0, 0.05736222035917575)	(167.0, 0.05736222035917575)	(172.0, 0.05736222035917575)	(177.0, 0.05736222035917575)	(182.0, 0.05736222035917575)	(187.0, 0.05736222035917575)	(192.0, 0.05912721175484269)	(197.0, 0.061774698848343114)	(202.0, 0.061774698848343114)	(207.0, 0.061774698848343114)	(212.0, 0.061774698848343114)	(217.0, 7.853329215020077)	(222.0, 17.83523805321449)	(227.0, 17.83523805321449)	(232.0, 17.83523805321449)	(237.0, 17.83523805321449)	(240.0, 17.83523805321449)
MRG5-IT-MF_S10_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.016767418258835987)	(17.0, 0.03971230640250629)	(22.0, 0.0423597934960067)	(27.0, 0.04412478489167365)	(32.0, 0.051184750474341435)	(37.0, 0.05647972466134228)	(42.0, 0.05736222035917575)	(47.0, 0.05736222035917575)	(52.0, 0.06353969024401006)	(57.0, 0.09883951815734897)	(62.0, 0.1314918589771875)	(67.0, 0.15620173851652472)	(72.0, 0.15884922561002515)	(77.0, 0.15884922561002515)	(82.0, 0.15884922561002515)	(87.0, 0.15884922561002515)	(92.0, 0.15884922561002515)	(97.0, 0.16943917398402683)	(102.0, 0.1800291223580285)	(107.0, 0.18532409654502935)	(112.0, 0.18532409654502935)	(117.0, 0.18532409654502935)	(122.0, 0.18885407933636325)	(127.0, 0.19238406212769715)	(132.0, 0.19414905352336406)	(137.0, 0.19414905352336406)	(142.0, 0.2003265234081984)	(147.0, 0.21356395887570048)	(152.0, 0.21885893306270132)	(157.0, 0.22062392445836826)	(162.0, 0.22062392445836826)	(167.0, 0.22062392445836826)	(172.0, 0.22062392445836826)	(177.0, 0.22062392445836826)	(182.0, 0.22062392445836826)	(187.0, 0.22327141155186866)	(192.0, 0.22503640294753563)	(197.0, 0.22503640294753563)	(202.0, 0.22503640294753563)	(207.0, 0.22503640294753563)	(212.0, 0.22503640294753563)	(217.0, 0.22856638573886956)	(222.0, 0.229448881436703)	(227.0, 0.2347438556237038)	(232.0, 0.23827383841503771)	(237.0, 0.23827383841503771)	(240.0, 0.23827383841503771)
MRG5-IT-MF_S10_L001_R2_001 - polyg	(1.0, 0.5294974187000838)	(2.0, 0.5647972466134228)	(3.0, 0.5647972466134228)	(4.0, 0.5692097251025902)	(5.0, 0.5692097251025902)	(6.0, 0.5692097251025902)	(7.0, 0.5692097251025902)	(8.0, 0.5692097251025902)	(9.0, 0.5692097251025902)	(12.0, 0.5692097251025902)	(17.0, 0.5692097251025902)	(22.0, 0.5692097251025902)	(27.0, 0.5692097251025902)	(32.0, 0.5692097251025902)	(37.0, 0.5692097251025902)	(42.0, 0.5692097251025902)	(47.0, 0.5692097251025902)	(52.0, 0.5692097251025902)	(57.0, 0.5692097251025902)	(62.0, 0.5692097251025902)	(67.0, 0.5692097251025902)	(72.0, 0.5692097251025902)	(77.0, 0.5692097251025902)	(82.0, 0.5692097251025902)	(87.0, 0.5692097251025902)	(92.0, 0.5692097251025902)	(97.0, 0.5692097251025902)	(102.0, 0.5692097251025902)	(107.0, 0.5692097251025902)	(112.0, 0.5692097251025902)	(117.0, 0.5692097251025902)	(122.0, 0.5700922208004237)	(127.0, 0.6203944755769315)	(132.0, 0.6265719454617659)	(137.0, 0.6265719454617659)	(142.0, 0.6265719454617659)	(147.0, 0.6265719454617659)	(152.0, 0.6265719454617659)	(157.0, 0.6265719454617659)	(162.0, 0.6265719454617659)	(167.0, 0.6265719454617659)	(172.0, 0.6265719454617659)	(177.0, 0.6265719454617659)	(182.0, 0.6265719454617659)	(187.0, 0.6265719454617659)	(192.0, 0.6265719454617659)	(197.0, 0.6265719454617659)	(202.0, 0.6265719454617659)	(207.0, 0.6265719454617659)	(212.0, 0.6265719454617659)	(217.0, 0.6265719454617659)	(222.0, 0.6265719454617659)	(227.0, 0.6283369368574327)	(232.0, 0.6309844239509332)	(237.0, 0.6327494153466001)	(240.0, 0.6353969024401006)
WML1-IT-MF_S11_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0020462451401677922)	(52.0, 0.003410408566946321)	(57.0, 0.003410408566946321)	(62.0, 0.003410408566946321)	(67.0, 0.005456653707114113)	(72.0, 0.006820817133892642)	(77.0, 0.006820817133892642)	(82.0, 0.006820817133892642)	(87.0, 0.006820817133892642)	(92.0, 0.006820817133892642)	(97.0, 0.006820817133892642)	(102.0, 0.006820817133892642)	(107.0, 0.006820817133892642)	(112.0, 0.006820817133892642)	(117.0, 0.006820817133892642)	(122.0, 0.006820817133892642)	(127.0, 0.012277470841006752)	(132.0, 0.01500579769456381)	(137.0, 0.0170520428347316)	(142.0, 0.0170520428347316)	(147.0, 0.0170520428347316)	(152.0, 0.0170520428347316)	(157.0, 0.0170520428347316)	(162.0, 0.0170520428347316)	(167.0, 0.0170520428347316)	(172.0, 0.0170520428347316)	(177.0, 0.0170520428347316)	(182.0, 0.0170520428347316)	(187.0, 0.0170520428347316)	(192.0, 0.0170520428347316)	(197.0, 0.0170520428347316)	(202.0, 0.0170520428347316)	(207.0, 0.021144533115067185)	(212.0, 0.032739922242684676)	(217.0, 11.750903758270242)	(222.0, 50.77007025441649)	(227.0, 55.60671168405976)	(232.0, 55.60671168405976)	(237.0, 55.60671168405976)	(240.0, 55.60671168405975)
WML1-IT-MF_S11_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.005456653707114113)	(82.0, 0.043653229656912894)	(87.0, 0.08457813246026874)	(92.0, 0.29124889161721573)	(97.0, 0.4488097674101358)	(102.0, 0.504058386194666)	(107.0, 0.5381624718641292)	(112.0, 0.5681740672532569)	(117.0, 0.5695382306800355)	(122.0, 0.5722665575335926)	(127.0, 0.5852261100879884)	(132.0, 0.6131914603369484)	(137.0, 0.6309255848850692)	(142.0, 0.6357001568787941)	(147.0, 0.6411568105859082)	(152.0, 0.6445672191528545)	(157.0, 0.6459313825796331)	(162.0, 0.6479776277198008)	(167.0, 0.6479776277198008)	(172.0, 0.6479776277198008)	(177.0, 0.6479776277198008)	(182.0, 0.6479776277198008)	(187.0, 0.6479776277198008)	(192.0, 0.6479776277198008)	(197.0, 0.6500238728599685)	(202.0, 0.6547984448536934)	(207.0, 0.6582088534206398)	(212.0, 0.6582088534206398)	(217.0, 0.6616192619875861)	(222.0, 0.6616192619875861)	(227.0, 0.6616192619875861)	(232.0, 0.6616192619875861)	(237.0, 0.663665507127754)	(240.0, 0.6650296705545324)
WML1-IT-MF_S11_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0020462451401677922)	(52.0, 0.003410408566946321)	(57.0, 0.003410408566946321)	(62.0, 0.003410408566946321)	(67.0, 0.005456653707114113)	(72.0, 0.006820817133892642)	(77.0, 0.006820817133892642)	(82.0, 0.006820817133892642)	(87.0, 0.006820817133892642)	(92.0, 0.006820817133892642)	(97.0, 0.006820817133892642)	(102.0, 0.006820817133892642)	(107.0, 0.006820817133892642)	(112.0, 0.006820817133892642)	(117.0, 0.006820817133892642)	(122.0, 0.006820817133892642)	(127.0, 0.006820817133892642)	(132.0, 0.008184980560671167)	(137.0, 0.01023122570083896)	(142.0, 0.01023122570083896)	(147.0, 0.01023122570083896)	(152.0, 0.01023122570083896)	(157.0, 0.01023122570083896)	(162.0, 0.01023122570083896)	(167.0, 0.01023122570083896)	(172.0, 0.01023122570083896)	(177.0, 0.01023122570083896)	(182.0, 0.01023122570083896)	(187.0, 0.01023122570083896)	(192.0, 0.01023122570083896)	(197.0, 0.01023122570083896)	(202.0, 0.01023122570083896)	(207.0, 0.014323715981174545)	(212.0, 0.02387285996862424)	(217.0, 11.812291112475275)	(222.0, 55.423231703158045)	(227.0, 61.38121546961327)	(232.0, 61.383943796466816)	(237.0, 61.383943796466816)	(240.0, 61.383943796466816)
WML1-IT-MF_S11_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.005456653707114112)	(17.0, 0.014323715981174545)	(22.0, 0.0170520428347316)	(27.0, 0.023190778255234974)	(32.0, 0.02523702339540277)	(37.0, 0.03069367710251688)	(42.0, 0.03069367710251688)	(47.0, 0.03069367710251688)	(52.0, 0.036150330809630996)	(57.0, 0.04433531137030216)	(62.0, 0.05661278221130892)	(67.0, 0.05797694563808744)	(72.0, 0.06138735420503376)	(77.0, 0.06138735420503376)	(82.0, 0.06138735420503376)	(87.0, 0.06616192619875863)	(92.0, 0.0682081713389264)	(97.0, 0.07025441647909418)	(102.0, 0.07502898847281904)	(107.0, 0.08457813246026875)	(112.0, 0.085260214173658)	(117.0, 0.0873064593138258)	(122.0, 0.08867062274060432)	(127.0, 0.08867062274060432)	(132.0, 0.08867062274060432)	(137.0, 0.09958393015483254)	(142.0, 0.10708682900211446)	(147.0, 0.11595389127617488)	(152.0, 0.1193642998431212)	(157.0, 0.1193642998431212)	(162.0, 0.12004638155651046)	(167.0, 0.12277470841006752)	(172.0, 0.12277470841006752)	(177.0, 0.12277470841006752)	(182.0, 0.12277470841006752)	(187.0, 0.12277470841006752)	(192.0, 0.12277470841006752)	(197.0, 0.12277470841006752)	(202.0, 0.12277470841006752)	(207.0, 0.12277470841006752)	(212.0, 0.12482095355023533)	(217.0, 0.12618511697701384)	(222.0, 0.1302776072573494)	(227.0, 0.1384625878180206)	(232.0, 0.15074005865902737)	(237.0, 0.15619671236614147)	(240.0, 0.15687879407953073)
WML1-IT-MF_S11_L001_R2_001 - polyg	(1.0, 0.3683241252302026)	(2.0, 0.39219698519882684)	(3.0, 0.39560739376577314)	(4.0, 0.39560739376577314)	(5.0, 0.39560739376577314)	(6.0, 0.39901780233271944)	(7.0, 0.4024282108996658)	(8.0, 0.4024282108996658)	(9.0, 0.4024282108996658)	(12.0, 0.40242821089966585)	(17.0, 0.40242821089966585)	(22.0, 0.40242821089966585)	(27.0, 0.40242821089966585)	(32.0, 0.40242821089966585)	(37.0, 0.40242821089966585)	(42.0, 0.40242821089966585)	(47.0, 0.40242821089966585)	(52.0, 0.40242821089966585)	(57.0, 0.40242821089966585)	(62.0, 0.40242821089966585)	(67.0, 0.40242821089966585)	(72.0, 0.40242821089966585)	(77.0, 0.40242821089966585)	(82.0, 0.40515653775322286)	(87.0, 0.4058386194666121)	(92.0, 0.4058386194666121)	(97.0, 0.4058386194666121)	(102.0, 0.4058386194666121)	(107.0, 0.4058386194666121)	(112.0, 0.4058386194666121)	(117.0, 0.4058386194666121)	(122.0, 0.40652070118000133)	(127.0, 0.40993110974694763)	(132.0, 0.4153877634540618)	(137.0, 0.4194802537343974)	(142.0, 0.4194802537343974)	(147.0, 0.42289066230134364)	(152.0, 0.42289066230134364)	(157.0, 0.42289066230134364)	(162.0, 0.42289066230134364)	(167.0, 0.423572744014733)	(172.0, 0.42630107086829006)	(177.0, 0.42630107086829006)	(182.0, 0.42630107086829006)	(187.0, 0.42630107086829006)	(192.0, 0.4269831525816793)	(197.0, 0.4297114794352364)	(202.0, 0.4338039697155719)	(207.0, 0.43653229656912906)	(212.0, 0.4399427051360753)	(217.0, 0.4399427051360753)	(222.0, 0.4399427051360753)	(227.0, 0.4399427051360753)	(232.0, 0.4413068685628538)	(237.0, 0.4433531137030216)	(240.0, 0.4433531137030216)
WML2-IT-MF_S12_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 1.1276226748733293)	(52.0, 2.7612473220661746)	(57.0, 2.807494814159894)	(62.0, 2.819056687183324)	(67.0, 2.819056687183324)	(72.0, 2.819056687183324)	(77.0, 2.819056687183324)	(82.0, 2.819056687183324)	(87.0, 2.819056687183324)	(92.0, 2.819056687183324)	(97.0, 2.819056687183324)	(102.0, 2.819056687183324)	(107.0, 2.819056687183324)	(112.0, 2.819056687183324)	(117.0, 2.819056687183324)	(122.0, 2.819056687183324)	(127.0, 2.819056687183324)	(132.0, 2.819056687183324)	(137.0, 2.8326588907403)	(142.0, 2.8326588907403)	(147.0, 2.8326588907403)	(152.0, 2.8326588907403)	(157.0, 2.8326588907403)	(162.0, 2.8326588907403)	(167.0, 2.8326588907403)	(172.0, 2.8326588907403)	(177.0, 2.8326588907403)	(182.0, 2.8326588907403)	(187.0, 2.8326588907403)	(192.0, 2.8367395518073932)	(197.0, 2.8428605434080323)	(202.0, 3.4331961777808004)	(207.0, 3.8256197503995653)	(212.0, 3.8412622844900874)	(217.0, 20.60529805828544)	(222.0, 40.29992858843133)	(227.0, 41.5717346210086)	(232.0, 41.5717346210086)	(237.0, 41.5717346210086)	(240.0, 41.5717346210086)
WML2-IT-MF_S12_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0)	(107.0, 0.0068011017784881155)	(112.0, 0.013602203556976231)	(117.0, 0.12786071343557656)	(122.0, 2.395348046383514)	(127.0, 2.7292821437072807)	(132.0, 2.841500323052334)	(137.0, 2.870064950521985)	(142.0, 2.8802666031897166)	(147.0, 2.8857074846125075)	(152.0, 2.892508586390995)	(157.0, 2.900669908525181)	(162.0, 2.900669908525181)	(167.0, 2.900669908525181)	(172.0, 2.900669908525181)	(177.0, 2.9020301288808787)	(182.0, 2.907471010303669)	(187.0, 2.907471010303669)	(192.0, 2.907471010303669)	(197.0, 2.907471010303669)	(202.0, 2.907471010303669)	(207.0, 2.9108715611929132)	(212.0, 2.917672662971401)	(217.0, 2.9210732138606454)	(222.0, 2.9210732138606454)	(227.0, 2.9210732138606454)	(232.0, 2.9210732138606454)	(237.0, 2.9210732138606454)	(240.0, 2.9210732138606454)
WML2-IT-MF_S12_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 1.1344237766518177)	(52.0, 2.778250076512395)	(57.0, 2.8244975686061142)	(62.0, 2.836059441629544)	(67.0, 2.836059441629544)	(72.0, 2.836059441629544)	(77.0, 2.836059441629544)	(82.0, 2.836059441629544)	(87.0, 2.836059441629544)	(92.0, 2.836059441629544)	(97.0, 2.836059441629544)	(102.0, 2.836059441629544)	(107.0, 2.836059441629544)	(112.0, 2.836059441629544)	(117.0, 2.836059441629544)	(122.0, 2.836059441629544)	(127.0, 2.836059441629544)	(132.0, 2.836059441629544)	(137.0, 2.836059441629544)	(142.0, 2.836059441629544)	(147.0, 2.836059441629544)	(152.0, 2.836059441629544)	(157.0, 2.836059441629544)	(162.0, 2.836059441629544)	(167.0, 2.836059441629544)	(172.0, 2.836059441629544)	(177.0, 2.836059441629544)	(182.0, 2.836059441629544)	(187.0, 2.836059441629544)	(192.0, 2.8387798823409396)	(197.0, 2.8428605434080323)	(202.0, 3.45087904240487)	(207.0, 3.852824157513518)	(212.0, 3.871867242493284)	(217.0, 20.2577617574047)	(222.0, 40.00000000000001)	(227.0, 41.24868228653042)	(232.0, 41.24868228653042)	(237.0, 41.24868228653042)	(240.0, 41.24868228653042)
WML2-IT-MF_S12_L001_R2_001 - polya	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0034005508892440577)	(7.0, 0.0034005508892440577)	(8.0, 0.0034005508892440577)	(9.0, 0.0034005508892440577)	(12.0, 0.00952154248988336)	(17.0, 0.020403305335464344)	(22.0, 0.020403305335464344)	(27.0, 0.021763525691161967)	(32.0, 0.023803856224708403)	(37.0, 0.023803856224708403)	(42.0, 0.023803856224708403)	(47.0, 0.023803856224708403)	(52.0, 0.024483966402557213)	(57.0, 0.03740605978168463)	(62.0, 0.041486720848777504)	(67.0, 0.04420716156017275)	(72.0, 0.04420716156017275)	(77.0, 0.04420716156017275)	(82.0, 0.04420716156017275)	(87.0, 0.04556738191587038)	(92.0, 0.047607712449416806)	(97.0, 0.05644914476145135)	(102.0, 0.06597068725133473)	(107.0, 0.07141156867412521)	(112.0, 0.07481211956336926)	(117.0, 0.07481211956336926)	(122.0, 0.07889278063046214)	(127.0, 0.08229333151970619)	(132.0, 0.0884143231203455)	(137.0, 0.08977454347604312)	(142.0, 0.0992960859659265)	(147.0, 0.1060971877444146)	(152.0, 0.11221817934505389)	(157.0, 0.11221817934505389)	(162.0, 0.11221817934505389)	(167.0, 0.11493862005644914)	(172.0, 0.11561873023429796)	(177.0, 0.11561873023429796)	(182.0, 0.11561873023429796)	(187.0, 0.11561873023429796)	(192.0, 0.11561873023429796)	(197.0, 0.11561873023429796)	(202.0, 0.11697895058999556)	(207.0, 0.11901928112354201)	(212.0, 0.11901928112354201)	(217.0, 0.11901928112354201)	(222.0, 0.11901928112354201)	(227.0, 0.12514027272418132)	(232.0, 0.13262148468051824)	(237.0, 0.13466181521406467)	(240.0, 0.1360220355697623)
WML2-IT-MF_S12_L001_R2_001 - polyg	(1.0, 0.584894752949978)	(2.0, 0.5984969565069541)	(3.0, 0.5984969565069541)	(4.0, 0.5984969565069541)	(5.0, 0.6018975073961982)	(6.0, 0.6018975073961982)	(7.0, 0.6018975073961982)	(8.0, 0.6018975073961982)	(9.0, 0.6018975073961982)	(12.0, 0.6018975073961982)	(17.0, 0.6018975073961982)	(22.0, 0.6018975073961982)	(27.0, 0.6018975073961982)	(32.0, 0.6018975073961982)	(37.0, 0.6018975073961982)	(42.0, 0.6025776175740469)	(47.0, 0.6052980582854423)	(52.0, 0.6052980582854423)	(57.0, 0.6052980582854423)	(62.0, 0.6052980582854423)	(67.0, 0.6073383888189887)	(72.0, 0.6086986091746863)	(77.0, 0.6086986091746863)	(82.0, 0.6086986091746863)	(87.0, 0.6086986091746863)	(92.0, 0.6120991600639304)	(97.0, 0.6120991600639304)	(102.0, 0.6148196007753256)	(107.0, 0.6154997109531745)	(112.0, 0.6154997109531745)	(117.0, 0.6154997109531745)	(122.0, 0.6678681946475329)	(127.0, 2.539531404087462)	(132.0, 2.8986295779916347)	(137.0, 3.142109021661509)	(142.0, 3.228483014248308)	(147.0, 3.273370285986329)	(152.0, 3.3005746931002817)	(157.0, 3.322338218791444)	(162.0, 3.3427415241269087)	(167.0, 3.354303397150338)	(172.0, 3.4073519910225456)	(177.0, 3.4454381609820794)	(182.0, 3.4658414663175434)	(187.0, 3.4719624579181825)	(192.0, 3.4719624579181825)	(197.0, 3.472642568096032)	(202.0, 3.4780834495188215)	(207.0, 3.478763559696671)	(212.0, 3.4842044411194615)	(217.0, 3.492365763253647)	(222.0, 3.495086203965042)	(227.0, 3.505287856632774)	(232.0, 3.5161696194783554)	(237.0, 3.5161696194783554)	(240.0, 3.5161696194783554)
WML3-IT-MF_S13_L001_R1_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0002033326216691575)	(47.0, 0.16063277111863442)	(52.0, 0.38328199184636186)	(57.0, 0.384705320198046)	(62.0, 0.4497717591321764)	(67.0, 0.4900316182226695)	(72.0, 0.4900316182226695)	(77.0, 0.4900316182226695)	(82.0, 0.4900316182226695)	(87.0, 0.4900316182226695)	(92.0, 0.4900316182226695)	(97.0, 0.4900316182226695)	(102.0, 0.4904382834660079)	(107.0, 0.49104828133101536)	(112.0, 0.49104828133101536)	(117.0, 0.49104828133101536)	(122.0, 0.49104828133101536)	(127.0, 0.49104828133101536)	(132.0, 0.49104828133101536)	(137.0, 0.49104828133101536)	(142.0, 0.49104828133101536)	(147.0, 0.49104828133101536)	(152.0, 0.49104828133101536)	(157.0, 0.4989782535761124)	(162.0, 0.5174815221480058)	(167.0, 0.5174815221480058)	(172.0, 0.5174815221480058)	(177.0, 0.5184981852563516)	(182.0, 0.5184981852563516)	(187.0, 0.5184981852563516)	(192.0, 0.5184981852563516)	(197.0, 0.5184981852563516)	(202.0, 0.5184981852563516)	(207.0, 0.5199215136080356)	(212.0, 0.5286648163398094)	(217.0, 6.23621150659306)	(222.0, 27.93627555636889)	(227.0, 28.35595408749403)	(232.0, 28.516790191234332)	(237.0, 28.518416852207686)	(240.0, 28.518416852207682)
WML3-IT-MF_S13_L001_R1_001 - polyg	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0)	(47.0, 0.0)	(52.0, 0.0)	(57.0, 0.0)	(62.0, 0.0)	(67.0, 0.0)	(72.0, 0.0)	(77.0, 0.0)	(82.0, 0.0)	(87.0, 0.0)	(92.0, 0.0)	(97.0, 0.0)	(102.0, 0.0010166631083457875)	(107.0, 0.00406665243338315)	(112.0, 0.00406665243338315)	(117.0, 0.020943260031923223)	(122.0, 0.2767356980917234)	(127.0, 0.3733186933845732)	(132.0, 0.4009719299315785)	(137.0, 0.4827116438425799)	(142.0, 0.5020282429011498)	(147.0, 0.5036549038745031)	(152.0, 0.506094895334533)	(157.0, 0.5081282215512247)	(162.0, 0.5089415520379011)	(167.0, 0.5093482172812395)	(172.0, 0.5093482172812395)	(177.0, 0.5093482172812395)	(182.0, 0.5121948739846077)	(187.0, 0.5170748569046675)	(192.0, 0.5174815221480058)	(197.0, 0.5174815221480058)	(202.0, 0.5174815221480058)	(207.0, 0.5174815221480058)	(212.0, 0.5174815221480058)	(217.0, 0.5174815221480058)	(222.0, 0.5174815221480058)	(227.0, 0.5174815221480058)	(232.0, 0.5258181596364413)	(237.0, 0.5414747715049664)	(240.0, 0.5439147629649963)
WML3-IT-MF_S13_L001_R2_001 - nextera_transposase_sequence	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(12.0, 0.0)	(17.0, 0.0)	(22.0, 0.0)	(27.0, 0.0)	(32.0, 0.0)	(37.0, 0.0)	(42.0, 0.0002033326216691575)	(47.0, 0.16510608879535588)	(52.0, 0.39446528603816555)	(57.0, 0.3958886143898496)	(62.0, 0.4633950447840099)	(67.0, 0.5052815648478564)	(72.0, 0.5052815648478564)	(77.0, 0.5052815648478564)	(82.0, 0.5052815648478564)	(87.0, 0.5052815648478564)	(92.0, 0.5052815648478564)	(97.0, 0.5052815648478564)	(102.0, 0.5056882300911947)	(107.0, 0.5062982279562022)	(112.0, 0.5062982279562022)	(117.0, 0.5062982279562022)	(122.0, 0.5062982279562022)	(127.0, 0.5062982279562022)	(132.0, 0.5062982279562022)	(137.0, 0.5062982279562022)	(142.0, 0.5062982279562022)	(147.0, 0.5062982279562022)	(152.0, 0.5062982279562022)	(157.0, 0.5154481959313142)	(162.0, 0.5388314474232674)	(167.0, 0.5388314474232674)	(172.0, 0.5388314474232674)	(177.0, 0.5408647736399589)	(182.0, 0.5408647736399589)	(187.0, 0.5408647736399589)	(192.0, 0.5408647736399589)	(197.0, 0.5408647736399589)	(202.0, 0.5408647736399589)	(207.0, 0.542288101991643)	(212.0, 0.5546913919134616)	(217.0, 11.071054584642287)	(222.0, 51.36588688606256)	(227.0, 51.97527475320503)	(232.0, 52.24753713362003)	(237.0, 52.24835046410671)	(240.0, 52.24835046410671)
