task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
41	57/2c93d0	17030	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (XB)	COMPLETED	0	2024-09-04 12:10:26.636	613ms	51ms	50.1%	1.5 MB	3.9 MB	112.2 KB	923 B
7	3a/273ffe	15961	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (PAC)	COMPLETED	0	2024-09-04 12:10:22.536	7.8s	8s	213.7%	1.3 GB	63.7 GB	35.7 MB	6.2 MB
9	52/bc2a8e	17687	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site1_1)	COMPLETED	0	2024-09-04 12:10:30.371	2.7s	3s	268.5%	273.8 MB	5.6 GB	277.7 MB	266.9 MB
8	77/058579	18167	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Site1_1)	COMPLETED	0	2024-09-04 12:10:33.140	6.8s	6s	240.4%	1 GB	63.8 GB	35.5 MB	5.8 MB
12	1d/1b2d6d	18713	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Site1_2)	COMPLETED	0	2024-09-04 12:10:39.937	10.9s	10s	216.6%	1.9 GB	63.7 GB	73.1 MB	5.8 MB
11	1c/7f501b	19482	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site1_2)	COMPLETED	0	2024-09-04 12:10:50.861	4.3s	3s	407.0%	279.2 MB	5.7 GB	818.7 MB	802.6 MB
16	af/38060c	20275	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site1_3)	COMPLETED	0	2024-09-04 12:10:55.196	3.5s	3s	360.8%	265.4 MB	5.6 GB	558.5 MB	545.2 MB
15	e4/b388eb	20993	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Site1_3)	COMPLETED	0	2024-09-04 12:10:58.739	8.8s	8s	220.9%	1.3 GB	63.8 GB	54.1 MB	5.9 MB
19	ce/be73c9	21658	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Site2_1)	COMPLETED	0	2024-09-04 12:11:07.592	6.8s	7s	239.6%	1 GB	63.8 GB	37.3 MB	5.9 MB
18	0b/f20054	22227	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site2_1)	COMPLETED	0	2024-09-04 12:11:14.435	3.1s	3s	268.0%	267 MB	5.6 GB	320.1 MB	309.4 MB
20	7e/b25cc9	22788	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Site2_2)	COMPLETED	0	2024-09-04 12:11:17.542	6.8s	7s	245.9%	1 GB	63.8 GB	32.7 MB	5.9 MB
21	6c/ec22d6	23367	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site2_2)	COMPLETED	0	2024-09-04 12:11:24.348	3s	3s	257.2%	284.6 MB	5.6 GB	259.8 MB	249.6 MB
25	12/efa952	23880	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (Site2_3)	COMPLETED	0	2024-09-04 12:11:27.457	9.9s	10s	207.3%	1.7 GB	63.7 GB	61.4 MB	5.8 MB
24	28/7d394d	24597	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site2_3)	COMPLETED	0	2024-09-04 12:11:37.384	3.7s	3s	384.7%	266.4 MB	5.6 GB	636.6 MB	622.8 MB
26	31/58586b	25308	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (Site3_1)	COMPLETED	0	2024-09-04 12:11:41.136	2.1s	1s	92.2%	11.3 MB	21.8 MB	8 MB	21.2 KB
